Type,Group,Hebrew Name,English Name,Symbol,Placement,Keyboard Key
Prose Disjunctive,1,סוֺף פָּסוּק,sof pasuq,◌׃,דָּבָר׃,Option+Shift+;
Prose Disjunctive,1,סִלּוּק,silluq,◌ֽ,דָּבָֽר,Option+1
Prose Disjunctive,1,אַתְנָח,atnakh,◌֑,דָּבָ֑ר,Option+=
Prose Disjunctive,2,סְגוֺלְתָּא,segolta,◌֒,דָּבָר֒,Option+Shift+]
Prose Disjunctive,2,שַׁלְשֶׁלֶת,shalshelet,◌֓׀,דָּבָ֓ר׀,Option+Shift+9 & Shift+\
Prose Disjunctive,2,זָקֵן קָטוֺן,zaqeph qaton,◌֔,דָּבָ֔ר,Option+Shift+[
Prose Disjunctive,2,זָקֵן גָּדוֺל,zaqeph gadol,◌֕,דָּבָ֕ר,Option+Shift+8
Prose Disjunctive,2,טִפְחָה,tiphkha,◌֖,דָּבָ֖ר,Option+3
Prose Disjunctive,3,רְבִיעַ,revia,◌֗,דָּבָ֗ר,Shift+Q
Prose Disjunctive,3,זַרְקָא,zarqa,◌֮,דָּבָר֮,Option+Shift+2
Prose Disjunctive,3,פַּשְׁטָא,pashta,◌֙,דָּבָר֙,Option+Shift+3
Prose Disjunctive,3,תְּבִיר,tevir,◌֛,דָּבָ֛ר,Option+8
Prose Disjunctive,3,יְתִיב,yetiv,◌֚,דָּ֚בָר,Option+]
Prose Disjunctive,4,פַָּּזֵר,pazer,◌֡,דָּבָ֡ר,Option+Shift+7
Prose Disjunctive,4,קַרְנֵי פָרָה,qarne parah,◌֟,דָּבָ֟ר,Option+Shift+6
Prose Disjunctive,4,תְְּּלִישָׁא גְּדוֺלָה,telisha gedolah,◌֠,דָּ֠בָר,Option+Shift+4
Prose Disjunctive,4,גֶּרֶשׁ,geresh,◌֜,דָּבָ֜ר,Shift+4
Prose Disjunctive,4,גֶֶּּרְשַׁיִם,gershayim,◌֞,דָּבָ֞ר,Shift+5
Prose Disjunctive,4,לְגַרְמֶהּ,legarmeh,◌֣׀,דָּבָ֣ר׀,Option+7 & Shift+\
Prose Conjunctive,,מֵרְכָא,merekha,◌֥,דָּבָ֥ר,Option+4
Prose Conjunctive,,מֵרְכָא כְּפוּלָה,merekha kephulah,◌֦,דָּבָ֦ר,Option+5
Prose Conjunctive,,מוּנָח,munakh,◌֣,דָּבָ֣ר,Option+7
Prose Conjunctive,,מְהֻפָּח,mehuppakh,◌֤,דָּבָ֤ר,Option+\
Prose Conjunctive,,דַּרְגָּא,darga,◌֧,דָּבָ֧ר,Option+9
Prose Conjunctive,,אַזְלָא,azla,◌֨,דָּבָ֨ר,Shift+3
Prose Conjunctive,,תְְּּלִישָׁא קְטַנָּה,telisha qetannah,◌֩,דָּבָר֩,Option+Shift+5
Prose Conjunctive,,גַּלְגַּל,galgal,◌֪,דָּבָ֪ר,Option+0
Prose Conjunctive,,מַיֶאלָה,mayela,◌֖◌֑,דָּ֖בָ֑ר,Option+3 & Option+=
Poetry Disjunctive,1,סוֺף פָּסוּק,sof pasuq,◌׃,דָּבָר׃,Option+Shift+;
Poetry Disjunctive,1,סִלּוּק,silluq,◌ֽ,דָּבָֽר,Option+1
Poetry Disjunctive,1,עוֺלֶה וְיוֺרֵד,ole veyored,◌֫◌֥,דָּ֫בָ֥ר,Option+Shift+\ & Option+4
Poetry Disjunctive,1,אַתְנָח,atnakh,◌֑,דָּבָ֑ר,Option+=
