Binyan,Mode,Person,Gender,Number,Conjugation,Gloss Translation
Qal,Perfect,3,M,S,קָטַל,he killed
Qal,Perfect,3,F,S,קָֽטְלָה,she killed
Qal,Perfect,2,M,S,קָטַ֫לְתָּ,you killed
Qal,Perfect,2,F,S,קָטַלְתְּ,you killed
Qal,Perfect,1,C,S,קָטַ֫לְתִּי,I killed
Qal,Perfect,3,C,P,קָֽטְלוּ,they killed
Qal,Perfect,2,M,P,קְטַלְתֶּם,you all killed
Qal,Perfect,2,F,P,קְטַלְתֶּן,you all killed
Qal,Perfect,1,C,P,קָטַ֫לְנוּ,we killed
Qal,Imperfect,3,M,S,יִקְטֹל,he will kill
Qal,Imperfect,3,F,S,תִּקְטֹל,she will kill
Qal,Imperfect,2,M,S,תִּקְטֹל,you will kill
Qal,Imperfect,2,F,S,תִּקְטְלִי,you will kill
Qal,Imperfect,2,F,S,תִּקְטְלִין,you will kill
Qal,Imperfect,1,C,S,אֶקְטֹל,I will kill
Qal,Imperfect,3,M,P,יִקְטְלוּ,they will kill
Qal,Imperfect,3,M,P,יִקְטְלוּן,they will kill
Qal,Imperfect,3,F,P,תִּקְטֹ֫לְנָה,they will kill
Qal,Imperfect,2,M,P,תִּקְטְלוּ,you all will kill
Qal,Imperfect,2,M,P,תִּקְטְלוּן,you all will kill
Qal,Imperfect,2,F,P,תִּקְטֹ֫לְנָה,you all will kill
Qal,Imperfect,1,C,P,נִקְטֹל,we will kill
Qal,Jussive,3,M,S,יִקְטֹל,may he kill
Qal,Jussive,3,F,S,תִּקְטֹל,may she kill
Qal,Jussive,2,M,S,תִּקְטֹל,may you kill
Qal,Jussive,2,F,S,תִּקְטְלִי,may you kill
Qal,Jussive,3,M,P,יִקְטְלוּ,may they kill
Qal,Jussive,3,F,P,תִּקְטֹ֫לְנָה,may they kill
Qal,Jussive,2,M,P,תִּקְטְלוּ,may you all kill
Qal,Jussive,2,F,P,תִּקְטֹ֫לְנָה,may you all kill
Qal,Cohortative,1,C,S,אֶקְטְלָה,may I kill
Qal,Cohortative,1,C,P,נִקְטְלָה,may we kill
Qal,Imperative,2,M,S,קְטֹל,kill!
Qal,Imperative,2,M,S,קָטְלָה,kill!
Qal,Imperative,2,F,S,קִטְלִי,kill!
Qal,Imperative,2,M,P,קִטְלוּ,kill!
Qal,Imperative,2,F,P,קְטֹ֫לְנָה,kill!
Qal,Infinitive Absolute,,,,קָטוֹל,to kill
Qal,Infinitive Construct,,,,קְטֹל,to kill
Qal,Active Participle,,M,S,קֹטֵל,killing
Qal,Active Participle,,F,S,קֹֽטְלָה,killing
Qal,Active Participle,,F,S,קֹטֶ֫לֶת,killing
Qal,Active Participle,,M,P,קֹֽטְלִים,killing
Qal,Active Participle,,F,P,קֹֽטְלוֹת,killing
