Binyan,Mode,Person,Gender,Number,Conjugation,Gloss Translation
Qal,Perfect,3,M,S,פָּקַד,he appointed
Qal,Perfect,3,F,S,פָּֽקְדָה,she appointed
Qal,Perfect,2,M,S,פָּקַ֫דְתָּ,you appointed
Qal,Perfect,2,F,S,פָּקַדְתְּ,you appointed
Qal,Perfect,1,C,S,פָּקַ֫דְתִּי,I appointed
Qal,Perfect,3,C,P,פָּֽקְדוּ,they appointed
Qal,Perfect,2,M,P,פְּקַדְתֶּם,you all appointed
Qal,Perfect,2,F,P,פְּקַדְתֶּן,you all appointed
Qal,Perfect,1,C,P,פָּקַ֫דְנוּ,we appointed
Qal,Imperfect,3,M,S,יִפְקֹד,he will appoint
Qal,Imperfect,3,F,S,תִּפְקֹד,she will appoint
Qal,Imperfect,2,M,S,תִּפְקֹד,you will appoint
Qal,Imperfect,2,F,S,תִּפְקְדִי,you will appoint
Qal,Imperfect,2,F,S,תִּפְקְדִין,you will appoint
Qal,Imperfect,1,C,S,אֶפְקֹד,I will appoint
Qal,Imperfect,3,M,P,יִפְקְדוּ,they will appoint
Qal,Imperfect,3,M,P,יִפְקְדוּן,they will appoint
Qal,Imperfect,3,F,P,תִּפְקֹ֫דְנָה,they will appoint
Qal,Imperfect,2,M,P,תִּפְקְדוּ,you all will appoint
Qal,Imperfect,2,M,P,תִּפְקְדוּן,you all will appoint
Qal,Imperfect,2,F,P,תִּפְקֹ֫דְנָה,you all will appoint
Qal,Imperfect,1,C,P,נִפְקֹד,we will appoint
Qal,Jussive,3,M,S,יִפְקֹד,may he appoint
Qal,Jussive,3,F,S,תִּפְקֹד,may she appoint
Qal,Jussive,2,M,S,תִּפְקֹד,may you appoint
Qal,Jussive,2,F,S,תִּפְקְדִי,may you appoint
Qal,Jussive,3,M,P,יִפְקְדוּ,may they appoint
Qal,Jussive,3,F,P,תִּפְקֹ֫דְנָה,may they appoint
Qal,Jussive,2,M,P,תִּפְקְדוּ,may you all appoint
Qal,Jussive,2,F,P,תִּפְקֹ֫דְנָה,may you all appoint
Qal,Cohortative,1,C,S,אֶפְקְדָה,may I appoint
Qal,Cohortative,1,C,P,נִפְקְדָה,may we appoint
Qal,Imperative,2,M,S,פְּקֹד,appoint!
Qal,Imperative,2,M,S,פָּקְדָה,appoint!
Qal,Imperative,2,F,S,פִּקְדִי,appoint!
Qal,Imperative,2,M,P,פִּקְדוּ,appoint!
Qal,Imperative,2,F,P,פְּקֹ֫דְנָה,appoint!
Qal,Infinitive Absolute,,,,פָּקוֹד,to appoint
Qal,Infinitive Construct,,,,פְּקֹד,to appoint
Qal,Active Participle,,M,S,פֹקֵד,appointing
Qal,Active Participle,,F,S,פֹֽקְדָה,appointing
Qal,Active Participle,,F,S,פֹקֶ֫דֶת,appointing
Qal,Active Participle,,M,P,פֹֽקְדִים,appointing
Qal,Active Participle,,F,P,פֹֽקְדוֹת,appointing
Qal,Passive Participle,,M,S,פָקוּד,appointed
Qal,Passive Participle,,F,S,פְקוּדָה,appointed
Qal,Passive Participle,,M,P,פְקוּדִים,appointed
Qal,Passive Participle,,F,P,פְקוּדוֹת,appointed
Niphal,Perfect,3,M,S,נִפְקַד,he was appointed
Niphal,Perfect,3,F,S,נִפְקְדָה,she was appointed
Niphal,Perfect,2,M,S,נִפְקַ֫דְתָּ,you were appointed
Niphal,Perfect,2,F,S,נִפְקַדְתְּ,you were appointed
Niphal,Perfect,1,C,S,נִפְקַ֫דְתִּי,I was appointed
Niphal,Perfect,3,C,P,נִפְקְדוּ,they were appointed
Niphal,Perfect,2,M,P,נִפְקַדְתֶּם,you all were appointed
Niphal,Perfect,2,F,P,נִפְקַדְתֶּן,you all were appointed
Niphal,Perfect,1,C,P,נִפְקַ֫דְנוּ,we were appointed
Niphal,Imperfect,3,M,S,יִפָּקֵד,he will be appointed
Niphal,Imperfect,3,F,S,תִּפָּקֵד,she will be appointed
Niphal,Imperfect,2,M,S,תִּפָּקֵד,you will be appointed
Niphal,Imperfect,2,F,S,תִּפָּֽקְדִי,you will be appointed
Niphal,Imperfect,1,C,S,אֶפָּקֵד,I will be appointed
Niphal,Imperfect,3,M,P,יִפָּֽקְדוּ,they will be appointed
Niphal,Imperfect,3,F,P,תִּפָּקַ֫דְנָה,they will be appointed
Niphal,Imperfect,2,M,P,תִּפָּֽקְדוּ,you all will be appointed
