Binyan,Mode,Person,Gender,Number,Conjugation,Gloss Translation
Qal,Perfect,3,M,S,כָּתַב,he wrote
Qal,Perfect,3,F,S,כָּֽתְבָה,she wrote
Qal,Perfect,2,M,S,כָּתַ֫בְתָּ,you wrote
Qal,Perfect,2,F,S,כָּתַבְתְּ,you wrote
Qal,Perfect,1,C,S,כָּתַ֫בְתִּי,I wrote
Qal,Perfect,3,C,P,כָּֽתְבוּ,they wrote
Qal,Perfect,2,M,P,כְּתַבְתֶּם,you all wrote
Qal,Perfect,2,F,P,כְּתַבְתֶּן,you all wrote
Qal,Perfect,1,C,P,כָּתַ֫בְנוּ,we wrote
Qal,Imperfect,3,M,S,יִכְתֹּב,he will write
Qal,Imperfect,3,F,S,תִּכְתֹּב,she will write
Qal,Imperfect,2,M,S,תִּכְתֹּב,you will write
Qal,Imperfect,2,F,S,תִּכְתְּבִי,you will write
Qal,Imperfect,2,F,S,תִּכְתְּבִין,you will write
Qal,Imperfect,1,C,S,אֶכְתֹּב,I will write
Qal,Imperfect,3,M,P,יִכְתְּבוּ,they will write
Qal,Imperfect,3,M,P,יִכְתְּבוּן,they will write
Qal,Imperfect,3,F,P,תִּכְתֹּ֫בְנָה,they will write
Qal,Imperfect,2,M,P,תִּכְתְּבוּ,you all will write
Qal,Imperfect,2,M,P,תִּכְתְּבוּן,you all will write
Qal,Imperfect,2,F,P,תִּכְתֹּ֫בְנָה,you all will write
Qal,Imperfect,1,C,P,נִכְתֹּב,we will write
Qal,Jussive,3,M,S,יִכְתֹּב,may he write
Qal,Jussive,3,F,S,תִּכְתֹּב,may she write
Qal,Jussive,2,M,S,תִּכְתֹּב,may you write
Qal,Jussive,2,F,S,תִּכְתְּבִי,may you write
Qal,Jussive,3,M,P,יִכְתְּבוּ,may they write
Qal,Jussive,3,F,P,תִּכְתֹּ֫בְנָה,may they write
Qal,Jussive,2,M,P,תִּכְתְּבוּ,may you all write
Qal,Jussive,2,F,P,תִּכְתֹּ֫בְנָה,may you all write
Qal,Cohortative,1,C,S,אֶכְתְּבָה,may I write
Qal,Cohortative,1,C,P,נִכְתְּבָה,may we write
Qal,Imperative,2,M,S,כְּתֹב,write!
Qal,Imperative,2,M,S,כָּתְבָה,write!
Qal,Imperative,2,F,S,כִּתְבִי,write!
Qal,Imperative,2,M,P,כִּתְבוּ,write!
Qal,Imperative,2,F,P,כְּתֹ֫בְנָה,write!
Qal,Infinitive Absolute,,,,כָּתוֹב,to write
Qal,Infinitive Construct,,,,כְּתֹב,to write
Qal,Active Participle,,M,S,כֹתֵב,writing
Qal,Active Participle,,F,S,כֹֽתְבָה,writing
