Binyan,Mode,Person,Gender,Number,Conjugation,Gloss Translation
Qal,Perfect,3,M,S,עָמַד,he stood
Qal,Perfect,3,F,S,עָֽמְדָה,she stood
Qal,Perfect,2,M,S,עָמַ֫דְתָּ,you stood
Qal,Perfect,2,F,S,עָמַדְתְּ,you stood
Qal,Perfect,1,C,S,עָמַ֫דְתִּי,I stood
Qal,Perfect,3,C,P,עָֽמְדוּ,they stood
Qal,Perfect,2,M,P,עֲמַדְתֶּם,you all stood
Qal,Perfect,2,F,P,עֲמַדְתֶּן,you all stood
Qal,Perfect,1,C,P,עָמַ֫דְנוּ,we stood
Qal,Imperfect,3,M,S,יַעֲמֹד,he will stand
Qal,Imperfect,3,F,S,תַּעֲמֹד,she will stand
Qal,Imperfect,2,M,S,תַּעֲמֹד,you will stand
Qal,Imperfect,2,F,S,תַּעַמְדִי,you will stand
Qal,Imperfect,1,C,S,אֶעֱמֹד,I will stand
Qal,Imperfect,3,M,P,יַעַמְדוּ,they will stand
Qal,Imperfect,3,F,P,תַּעֲמֹ֫דְנָה,they will stand
Qal,Imperfect,2,M,P,תַּעַמְדוּ,you all will stand
Qal,Imperfect,2,F,P,תַּעֲמֹ֫דְנָה,you all will stand
Qal,Imperfect,1,C,P,נַעֲמֹד,we will stand
Qal,Jussive,3,M,S,יַעֲמֹד,may he stand
Qal,Jussive,3,F,S,תַּעֲמֹד,may she stand
Qal,Jussive,2,M,S,תַּעֲמֹד,may you stand
Qal,Jussive,2,F,S,תַּעַמְדִי,may you stand
Qal,Jussive,3,M,P,יַעַמְדוּ,may they stand
Qal,Jussive,3,F,P,תַּעֲמֹ֫דְנָה,may they stand
Qal,Jussive,2,M,P,תַּעַמְדוּ,may you all stand
Qal,Jussive,2,F,P,תַּעֲמֹ֫דְנָה,may you all stand
Qal,Cohortative,1,C,S,אֶעֶמְדָה,may I stand
Qal,Cohortative,1,C,P,נַעַמְדָה,may we stand
Qal,Imperative,2,M,S,עֲמֹד,stand!
Qal,Imperative,2,F,S,עִמְדִי,stand!
Qal,Imperative,2,M,P,עִמְדוּ,stand!
Qal,Imperative,2,F,P,עֲמֹ֫דְנָה,stand!
Qal,Infinitive Absolute,,,,עָמוֹד,to stand
Qal,Infinitive Construct,,,,עֲמֹד,to stand
Qal,Active Participle,,M,S,עֹמֵד,standing
Qal,Active Participle,,F,S,עֹמְדָה,standing
Qal,Active Participle,,F,S,עֹמֶ֫דֶת,standing
Qal,Active Participle,,M,P,עֹמְדִים,standing
Qal,Active Participle,,F,P,עֹמְדוֹת,standing
Qal,Passive Participle,,M,S,עָמוּד,stood
Qal,Passive Participle,,F,S,עֲמוּדָה,stood
Qal,Passive Participle,,M,P,עֲמוּדִים,stood
Qal,Passive Participle,,F,P,עֲמוּדוֹת,stood
Niphal,Perfect,3,M,S,נֶעֱמַד,he was stood
Niphal,Perfect,3,F,S,נֶעֶמְדָה,she was stood
Niphal,Perfect,2,M,S,נֶעֱמַ֫דְתָּ,you were stood
Niphal,Perfect,2,F,S,נֶעֱמַדְתְּ,you were stood
Niphal,Perfect,1,C,S,נֶעֱמַ֫דְתִּי,I was stood
Niphal,Perfect,3,C,P,נֶעֶמְדוּ,they were stood
Niphal,Perfect,2,M,P,נֶעֱמַדְתֶּם,you all were stood
Niphal,Perfect,2,F,P,נֶעֱמַדְתֶּן,you all were stood
Niphal,Perfect,1,C,P,נֶעֱמַ֫דְנוּ,we were stood
Niphal,Imperfect,3,M,S,יֵעָמֵד,he will be stood
Niphal,Imperfect,3,F,S,תֵּעָמֵד,she will be stood
Niphal,Imperfect,2,M,S,תֵּעָמֵד,you will be stood
Niphal,Imperfect,2,F,S,תֵּעָֽמְדִי,you will be stood
Niphal,Imperfect,1,C,S,אֵעָמֵד,I will be stood
Niphal,Imperfect,3,M,P,יֵעָֽמְדוּ,they will be stood
Niphal,Imperfect,3,F,P,תֵּעָמַ֫דְנָה,they will be stood
Niphal,Imperfect,2,M,P,תֵּעָֽמְדוּ,you all will be stood
Niphal,Imperfect,2,F,P,תֵּעָמַ֫דְנָה,you all will be stood
Niphal,Imperfect,1,C,P,נֵעָמֵד,we will be stood
Niphal,Jussive,3,M,S,יֵעָמֵד,may he be stood
Niphal,Jussive,3,F,S,תֵּעָמֵד,may she be stood
Niphal,Jussive,2,M,S,תֵּעָמֵד,may you be stood
Niphal,Jussive,2,F,S,תֵּעָֽמְדִי,may you be stood
Niphal,Jussive,3,M,P,יֵעָֽמְדוּ,may they be stood
Niphal,Jussive,3,F,P,תֵּעָמַ֫דְנָה,may they be stood
Niphal,Jussive,2,M,P,תֵּעָֽמְדוּ,may you all be stood
Niphal,Jussive,2,F,P,תֵּעָמַ֫דְנָה,may you all be stood
Niphal,Cohortative,1,C,S,אֵעָֽמְדָה,may I be stood
Niphal,Cohortative,1,C,P,נֵעָֽמְדָה,may we be stood
Niphal,Imperative,2,M,S,הֵעָמֵד,be stood!
Niphal,Imperative,2,F,S,הֵעָֽמְדִי,be stood!
Niphal,Imperative,2,M,P,הֵעָֽמְדוּ,be stood!
