Binyan,Mode,Person,Gender,Number,Conjugation,Gloss Translation
Qal,Perfect,3,M,S,יָשַׁב,he sat
Qal,Perfect,3,F,S,יָֽשְׁבָה,she sat
Qal,Perfect,2,M,S,יָשַׁ֫בְתָּ,you sat
Qal,Perfect,2,F,S,יָשַׁבְתְּ,you sat
Qal,Perfect,1,C,S,יָשַׁ֫בְתִּי,I sat
Qal,Perfect,3,C,P,יָֽשְׁבוּ,they sat
Qal,Perfect,2,M,P,יְשַׁבְתֶּם,you all sat
Qal,Perfect,2,F,P,יְשַׁבְתֶּן,you all sat
Qal,Perfect,1,C,P,יָשַׁ֫בְנוּ,we sat
Qal,Imperfect,3,M,S,יֵשֵׁב,he will sit
Qal,Imperfect,3,F,S,תֵּשֵׁב,she will sit
Qal,Imperfect,2,M,S,תֵּשֵׁב,you will sit
Qal,Imperfect,2,F,S,תֵּשְׁבֵי,you will sit
Qal,Imperfect,1,C,S,אֵשֵׁב,I will sit
Qal,Imperfect,3,M,P,יֵשְׁבוּ,they will sit
Qal,Imperfect,3,F,P,תֵּשַׁ֫בְנָה,they will sit
Qal,Imperfect,2,M,P,תֵּשְׁבוּ,you all will sit
Qal,Imperfect,2,F,P,תֵּשַׁ֫בְנָה,you all will sit
Qal,Imperfect,1,C,P,נֵשֵׁב,we will sit
Qal,Jussive,3,M,S,יֵשֵׁב,may he sit
Qal,Jussive,3,F,S,תֵּשֵׁב,may she sit
Qal,Jussive,2,M,S,תֵּשֵׁב,may you sit
Qal,Jussive,2,F,S,תֵּשְׁבֵי,may you sit
Qal,Jussive,3,M,P,יֵשְׁבוּ,may they sit
Qal,Jussive,3,F,P,תֵּשַׁ֫בְנָה,may they sit
Qal,Jussive,2,M,P,תֵּשְׁבוּ,may you all sit
Qal,Jussive,2,F,P,תֵּשַׁ֫בְנָה,may you all sit
Qal,Cohortative,1,C,S,אֵשְׁבָה,may I sit
Qal,Cohortative,1,C,P,נֵשְׁבָה,may we sit
Qal,Imperative,2,M,S,שֵׁב,sit!
Qal,Imperative,2,F,S,שְׁבִי,sit!
Qal,Imperative,2,M,P,שְׁבוּ,sit!
Qal,Imperative,2,F,P,שֵׁ֫בְנָה,sit!
Qal,Infinitive Absolute,,,,יָשׁוֹב,to sit
Qal,Infinitive Construct,,,,שֶׁ֫בֶת,to sit
