Binyan,Mode,Person,Gender,Number,Conjugation,Gloss Translation
Qal,Perfect,3,M,S,נָגַשׁ,he drew near
Qal,Perfect,3,F,S,נָֽגְשָׁה,she drew near
Qal,Perfect,2,M,S,נָגַ֫שְׁתָּ,you drew near
Qal,Perfect,2,F,S,נָגַשְׁתְּ,you drew near
Qal,Perfect,1,C,S,נָגַ֫שְׁתִּי,I drew near
Qal,Perfect,3,C,P,נָֽגְשׁוּ,they drew near
Qal,Perfect,2,M,P,נְגַשְׁתֶּם,you all drew near
Qal,Perfect,2,F,P,נְגַשְׁתֶּן,you all drew near
Qal,Perfect,1,C,P,נָגַ֫שְׁנוּ,we drew near
Qal,Imperfect,3,M,S,יִגַּשׁ,he will draw near
Qal,Imperfect,3,F,S,תִּגַּשׁ,she will draw near
Qal,Imperfect,2,M,S,תִּגַּשׁ,you will draw near
Qal,Imperfect,2,F,S,תִּגְּשִׁי,you will draw near
Qal,Imperfect,1,C,S,אֶגַּשׁ,I will draw near
Qal,Imperfect,3,M,P,יִגְּשׁוּ,they will draw near
Qal,Imperfect,3,F,P,תִּגַּ֫שְׁנָה,they will draw near
Qal,Imperfect,2,M,P,תִּגְּשׁוּ,you all will draw near
Qal,Imperfect,2,F,P,תִּגַּ֫שְׁנָה,you all will draw near
Qal,Imperfect,1,C,P,נִגַּשׁ,we will draw near
Qal,Jussive,3,M,S,יִגַּשׁ,may he draw near
Qal,Jussive,3,F,S,תִּגַּשׁ,may she draw near
Qal,Jussive,2,M,S,תִּגַּשׁ,may you draw near
Qal,Jussive,2,F,S,תִּגְּשִׁי,may you draw near
Qal,Jussive,3,M,P,יִגְּשׁוּ,may they draw near
Qal,Jussive,3,F,P,תִּגַּ֫שְׁנָה,may they draw near
Qal,Jussive,2,M,P,תִּגְּשׁוּ,may you all draw near
Qal,Jussive,2,F,P,תִּגַּ֫שְׁנָה,may you all draw near
Qal,Cohortative,1,C,S,אֶגְּשָׁה,may I draw near
Qal,Cohortative,1,C,P,נִגְּשָׁה,may we draw near
Qal,Imperative,2,M,S,גַּשׁ,draw near!
Qal,Imperative,2,F,S,גְּשִׁי,draw near!
Qal,Imperative,2,M,P,גְּשׁוּ,draw near!
Qal,Imperative,2,F,P,גַּ֫שְׁנָה,draw near!
Qal,Infinitive Absolute,,,,נָגוֹשׁ,to draw near
Qal,Infinitive Construct,,,,גֶּ֫שֶׁת,to draw near
Qal,Active Participle,,M,S,נֹגֵשׁ,drawing near
Qal,Active Participle,,F,S,נֹֽגְשָׁה,drawing near
Qal,Active Participle,,M,P,נֹֽגְשִׁים,drawing near
Qal,Active Participle,,F,P,נֹֽגְשׁוֹת,drawing near
Qal,Passive Participle,,M,S,נָגוּשׁ,drew near
Qal,Passive Participle,,F,S,נְגוּשָׁה,drew near
Qal,Passive Participle,,M,P,נְגוּשִׁים,drew near
Qal,Passive Participle,,F,P,נְגוּשׁוֹת,drew near
Niphal,Perfect,3,M,S,נִגַּשׁ,he was drawn near
Niphal,Perfect,3,F,S,נִגְּשָׁה,she was drawn near
Niphal,Perfect,2,M,S,נִגַּ֫שְׁתָּ,you were drawn near
Niphal,Perfect,2,F,S,נִגַּשְׁתְּ,you were drawn near
Niphal,Perfect,1,C,S,נִגַּ֫שְׁתִּי,I was drawn near
Niphal,Perfect,3,C,P,נִגְּשׁוּ,they were drawn near
Niphal,Perfect,2,M,P,נִגַּשְׁתֶּם,you all were drawn near
Niphal,Perfect,2,F,P,נִגַּשְׁתֶּן,you all were drawn near
