Binyan,Mode,Person,Gender,Number,Conjugation,Gloss Translation
Qal,Perfect,3,M,S,שָׁחַט,he killed
Qal,Perfect,3,F,S,שָֽׁחֲטָה,she killed
Qal,Perfect,2,M,S,שָׁחַ֫טְתָּ,you killed
Qal,Perfect,2,F,S,שָׁחַטְתְּ,you killed
Qal,Perfect,1,C,S,שָׁחַ֫טְתִּי,I killed
Qal,Perfect,3,C,P,שָֽׁחֲטוּ,they killed
Qal,Perfect,2,M,P,שְׁחַטְתֶּם,you all killed
Qal,Perfect,2,F,P,שְׁחַטְתֶּן,you all killed
Qal,Perfect,1,C,P,שָׁחַ֫טְנוּ,we killed
Qal,Imperfect,3,M,S,יִשְׁחַט,he will kill
Qal,Imperfect,3,F,S,תִּשְׁחַט,she will kill
Qal,Imperfect,2,M,S,תִּשְׁחַט,you will kill
Qal,Imperfect,2,F,S,תִּשְׁחֲטִי,you will kill
Qal,Imperfect,1,C,S,אֶשְׁחַט,I will kill
Qal,Imperfect,3,M,P,יִשְׁחֲטוּ,they will kill
Qal,Imperfect,3,F,P,תִּשְׁחַ֫טְנָה,they will kill
Qal,Imperfect,2,M,P,תִּשְׁחֲטוּ,you all will kill
Qal,Imperfect,2,F,P,תִּשְׁחַ֫טְנָה,you all will kill
Qal,Imperfect,1,C,P,נִשְׁחַט,we will kill
Qal,Jussive,3,M,S,יִשְׁחַט,may he kill
Qal,Jussive,3,F,S,תִּשְׁחַט,may she kill
Qal,Jussive,2,M,S,תִּשְׁחַט,may you kill
Qal,Jussive,2,F,S,תִּשְׁחֲטִי,may you kill
Qal,Jussive,3,M,P,יִשְׁחֲטוּ,may they kill
Qal,Jussive,3,F,P,תִּשְׁחַ֫טְנָה,may they kill
Qal,Jussive,2,M,P,תִּשְׁחֲטוּ,may you all kill
Qal,Jussive,2,F,P,תִּשְׁחַ֫טְנָה,may you all kill
Qal,Cohortative,1,C,S,אֶשְׁחֲטָה,may I kill
Qal,Cohortative,1,C,P,נִשְׁחֲטָה,may we kill
Qal,Imperative,2,M,S,שְׁחַט,kill!
Qal,Imperative,2,F,S,שִׁחֲטִי,kill!
Qal,Imperative,2,M,P,שִׁחֲטוּ,kill!
Qal,Imperative,2,F,P,שְׁחַ֫טְנָה,kill!
Qal,Infinitive Absolute,,,,שָׁחוֹט,to kill
Qal,Infinitive Construct,,,,שְׁחֹט,to kill
Qal,Active Participle,,M,S,שֹׁחֵט,killing
Qal,Active Participle,,F,S,שֹֽׁחֲטָה,killing
Qal,Active Participle,,M,P,שֹֽׁחֲטִים,killing
Qal,Active Participle,,F,P,שֹֽׁחֲטוֹת,killing
Qal,Passive Participle,,M,S,שָׁחוּט,killed
Qal,Passive Participle,,F,S,שְׁחוּטָה,killed
Qal,Passive Participle,,M,P,שְׁחוּטִים,killed
Qal,Passive Participle,,F,P,שְׁחוּטוֹת,killed
Niphal,Perfect,3,M,S,נִשְׁחַט,he was killed
Niphal,Perfect,3,F,S,נִשְׁחֲטָה,she was killed
Niphal,Perfect,2,M,S,נִשְׁחַ֫טְתָּ,you were killed
Niphal,Perfect,2,F,S,נִשְׁחַטְתְּ,you were killed
Niphal,Perfect,1,C,S,נִשְׁחַ֫טְתִּי,I was killed
Niphal,Perfect,3,C,P,נִשְׁחֲטוּ,they were killed
Niphal,Perfect,2,M,P,נִשְׁחַטְתֶּם,you all were killed
Niphal,Perfect,2,F,P,נִשְׁחַטְתֶּן,you all were killed
Niphal,Perfect,1,C,P,נִשְׁחַ֫טְנוּ,we were killed
Niphal,Imperfect,3,M,S,יִשָּׁחֵט,he will be killed
Niphal,Imperfect,3,F,S,תִּשָּׁחֵט,she will be killed
Niphal,Imperfect,2,M,S,תִּשָּׁחֵט,you will be killed
Niphal,Imperfect,2,F,S,תִּשָּֽׁחֲטִי,you will be killed
Niphal,Imperfect,1,C,S,אֶשָּׁחֵט,I will be killed
Niphal,Imperfect,3,M,P,יִשָּֽׁחֲטוּ,they will be killed
Niphal,Imperfect,3,F,P,תִּשָּׁחַ֫טְנָה,they will be killed
Niphal,Imperfect,2,M,P,תִּשָּֽׁחֲטוּ,you all will be killed
Niphal,Imperfect,2,F,P,תִּשָּׁחַ֫טְנָה,you all will be killed
Niphal,Imperfect,1,C,P,נִשָּׁחֵט,we will be killed
Niphal,Jussive,3,M,S,יִשָּׁחֵט,may he be killed
Niphal,Jussive,3,F,S,תִּשָּׁחֵט,may she be killed
Niphal,Jussive,2,M,S,תִּשָּׁחֵט,may you be killed
Niphal,Jussive,2,F,S,תִּשָּֽׁחֲטִי,may you be killed
Niphal,Jussive,3,M,P,יִשָּֽׁחֲטוּ,may they be killed
Niphal,Jussive,3,F,P,תִּשָּׁחַ֫טְנָה,may they be killed
Niphal,Jussive,2,M,P,תִּשָּֽׁחֲטוּ,may you all be killed
