Binyan,Mode,Person,Gender,Number,Conjugation,Gloss Translation
Qal,Perfect,3,M,S,קָם,he arose
Qal,Perfect,3,F,S,קָ֫מָה,she arose
Qal,Perfect,2,M,S,קַ֫מְתָּ,you arose
Qal,Perfect,2,F,S,קַ֫מְתְּ,you arose
Qal,Perfect,1,C,S,קַ֫מְתִּי,I arose
Qal,Perfect,3,C,P,קָ֫מוּ,they arose
Qal,Perfect,2,M,P,קַמְתֶּם,you all arose
Qal,Perfect,2,F,P,קַמְתֶּן,you all arose
Qal,Perfect,1,C,P,קַ֫מְנוּ,we arose
Qal,Imperfect,3,M,S,יָקוּם,he will arise
Qal,Imperfect,3,F,S,תָּקוּם,she will arise
Qal,Imperfect,2,M,S,תָּקוּם,you will arise
Qal,Imperfect,2,F,S,תָּק֫וּמִי,you will arise
Qal,Imperfect,1,C,S,אָקוּם,I will arise
Qal,Imperfect,3,M,P,יָק֫וּמוּ,they will arise
Qal,Imperfect,3,F,P,תְּקוּמֶ֫ינָה,they will arise
Qal,Imperfect,2,M,P,תָּק֫וּמוּ,you all will arise
Qal,Imperfect,2,F,P,תְּקוּמֶ֫ינָה,you all will arise
Qal,Imperfect,1,C,P,נָקוּם,we will arise
Qal,Jussive,3,M,S,יָקֹם,may he arise
Qal,Jussive,3,F,S,תָּקֹם,may she arise
Qal,Jussive,2,M,S,תָּקֹם,may you arise
Qal,Jussive,2,F,S,תָּק֫וּמִי,may you arise
Qal,Jussive,3,M,P,יָק֫וּמוּ,may they arise
Qal,Jussive,3,F,P,תְּקוּמֶ֫ינָה,may they arise
Qal,Jussive,2,M,P,תָּק֫וּמוּ,may you all arise
Qal,Jussive,2,F,P,תְּקוּמֶ֫ינָה,may you all arise
Qal,Cohortative,1,C,S,אָק֫וּמָה,may I arise
Qal,Cohortative,1,C,P,נָק֫וּמָה,may we arise
Qal,Imperative,2,M,S,קוּם,arise!
Qal,Imperative,2,F,S,ק֫וּמִי,arise!
Qal,Imperative,2,M,P,ק֫וּמוּ,arise!
