Binyan,Mode,Person,Gender,Number,Conjugation,Gloss Translation
Qal,Perfect,3,M,S,סַב,he surrounded
Qal,Perfect,3,F,S,סַ֫בָּה,she surrounded
Qal,Perfect,2,M,S,סַבּ֫וֹתָ,you surrounded
Qal,Perfect,2,F,S,סַבּוֹתְ,you surrounded
Qal,Perfect,1,C,S,סַבּ֫וֹתִי,I surrounded
Qal,Perfect,3,C,P,סַ֫בּוּ,they surrounded
Qal,Perfect,2,M,P,סַבַּוֹתֶם,you all surrounded
Qal,Perfect,2,F,P,סַבַּוֹתֶן,you all surrounded
Qal,Perfect,1,C,P,סַבּ֫וֹנוּ,we surrounded
Qal,Imperfect,3,M,S,יָסֹב,he will surround
Qal,Imperfect,3,F,S,תָּסֹב,she will surround
Qal,Imperfect,2,M,S,תָּסֹב,you will surround
Qal,Imperfect,2,F,S,תָּסֹ֫בִּי,you will surround
Qal,Imperfect,1,C,S,אָסֹב,I will surround
Qal,Imperfect,3,M,P,יָסֹ֫בּוּ,they will surround
Qal,Imperfect,3,F,P,תְּסֻבֶּ֫ינָה,they will surround
Qal,Imperfect,2,M,P,תָּסֹ֫בּוּ,you all will surround
Qal,Imperfect,2,F,P,תְּסֻבֶּ֫ינָה,you all will surround
Qal,Imperfect,1,C,P,נָסֹב,we will surround
Qal,Jussive,3,M,S,יָסֹב,may he surround
Qal,Jussive,3,F,S,תָּסֹב,may she surround
Qal,Jussive,2,M,S,תָּסֹב,may you surround
Qal,Jussive,2,F,S,תָּסֹ֫בִּי,may you surround
Qal,Jussive,3,M,P,יָסֹ֫בּוּ,may they surround
Qal,Jussive,3,F,P,תְּסֻבֶּ֫ינָה,may they surround
Qal,Jussive,2,M,P,תָּסֹ֫בּוּ,may you all surround
Qal,Jussive,2,F,P,תְּסֻבֶּ֫ינָה,may you all surround
Qal,Cohortative,1,C,S,אָסֹ֫בָּה,may I surround
Qal,Cohortative,1,C,P,נָסֹ֫בָּה,may we surround
Qal,Imperative,2,M,S,סֹב,surround!
Qal,Imperative,2,F,S,סֹ֫בִּי,surround!
Qal,Imperative,2,M,P,סֹ֫בּוּ,surround!
Qal,Imperative,2,F,P,סֻבֶּ֫ינָה,surround!
Qal,Infinitive Absolute,,,,סָבוֹב,to surround
Qal,Infinitive Construct,,,,סֹב,to surround
Qal,Active Participle,,M,S,סֹבֵב,surrounding
Qal,Active Participle,,F,S,סֹֽבְבָה,surrounding
Qal,Active Participle,,M,P,סֹֽבְבִים,surrounding
Qal,Active Participle,,F,P,סֹֽבְבוֹת,surrounding
Qal,Passive Participle,,M,S,סָבוּב,surrounded
Qal,Passive Participle,,F,S,סְבוּבָה,surrounded
Qal,Passive Participle,,M,P,סְבוּבִים,surrounded
Qal,Passive Participle,,F,P,סְבוּבוֹת,surrounded
Niphal,Perfect,3,M,S,נָסַב,he was surrounded
Niphal,Perfect,3,F,S,נָסַ֫בָּה,she was surrounded
Niphal,Perfect,2,M,S,נְסַבּ֫וֹתָ,you were surrounded
Niphal,Perfect,2,F,S,נְסַבּוֹתְ,you were surrounded
Niphal,Perfect,1,C,S,נְסַבּ֫וֹתִי,I was surrounded
Niphal,Perfect,3,C,P,נָסַ֫בּוּ,they were surrounded
Niphal,Perfect,2,M,P,נְסַבַּוֹתֶם,you all were surrounded
Niphal,Perfect,2,F,P,נְסַבַּוֹתֶן,you all were surrounded
Niphal,Perfect,1,C,P,נְסַבּ֫וֹנוּ,we were surrounded
Niphal,Imperfect,3,M,S,יִסַּב,he will be surrounded
Niphal,Imperfect,3,F,S,תִּסַּב,she will be surrounded
Niphal,Imperfect,2,M,S,תִּסַּב,you will be surrounded
Niphal,Imperfect,2,F,S,תִּסַּ֫בִּי,you will be surrounded
Niphal,Imperfect,1,C,S,אֶסַּב,I will be surrounded
Niphal,Imperfect,3,M,P,יִסַּ֫בּוּ,they will be surrounded
Niphal,Imperfect,3,F,P,תִּסַּבֶּ֫ינָה,they will be surrounded
Niphal,Imperfect,2,M,P,תִּסַּ֫בּוּ,you all will be surrounded
Niphal,Imperfect,2,F,P,תִּסַּבֶּ֫ינָה,you all will be surrounded
Niphal,Imperfect,1,C,P,נִסַּב,we will be surrounded
Niphal,Jussive,3,M,S,יִסַּב,may he be surrounded
Niphal,Jussive,3,F,S,תִּסַּב,may she be surrounded
Niphal,Jussive,2,M,S,תִּסַּב,may you be surrounded
Niphal,Jussive,2,F,S,תִּסַּ֫בִּי,may you be surrounded
Niphal,Jussive,3,M,P,יִסַּ֫בּוּ,may they be surrounded
Niphal,Jussive,3,F,P,תִּסַּבֶּ֫ינָה,may they be surrounded
Niphal,Jussive,2,M,P,תִּסַּ֫בּוּ,may you all be surrounded
Niphal,Jussive,2,F,P,תִּסַּבֶּ֫ינָה,may you all be surrounded
Niphal,Cohortative,1,C,S,אֶסַּ֫בִּה,may I be surrounded
Niphal,Cohortative,1,C,P,נִסַּ֫בִּה,may we be surrounded
