Binyan,Mode,Person,Gender,Number,Conjugation,Gloss Translation
Qal,Perfect,3,M,S,שָׁלַח,he sent
Qal,Perfect,3,F,S,שָֽׁלְחָה,she sent
Qal,Perfect,2,M,S,שָׁלַ֫חְתָּ,you sent
Qal,Perfect,2,F,S,שָׁלַ֫חַתְּ,you sent
Qal,Perfect,1,C,S,שָׁלַ֫חְתִּי,I sent
Qal,Perfect,3,C,P,שָֽׁלְחוּ,they sent
Qal,Perfect,2,M,P,שְׁלַחְתֶּם,you all sent
Qal,Perfect,2,F,P,שְׁלַחְתֶּן,you all sent
Qal,Perfect,1,C,P,שָׁלַ֫חְנוּ,we sent
Qal,Imperfect,3,M,S,יִשְׁלַח,he will send
Qal,Imperfect,3,F,S,תִּשְׁלַח,she will send
Qal,Imperfect,2,M,S,תִּשְׁלַח,you will send
Qal,Imperfect,2,F,S,תִּשְׁלְחִי,you will send
Qal,Imperfect,1,C,S,אֶשְׁלַח,I will send
Qal,Imperfect,3,M,P,יִשְׁלְחוּ,they will send
Qal,Imperfect,3,F,P,תִּשְׁלַ֫חְנָה,they will send
Qal,Imperfect,2,M,P,תִּשְׁלְחוּ,you all will send
Qal,Imperfect,2,F,P,תִּשְׁלַ֫חְנָה,you all will send
Qal,Imperfect,1,C,P,נִשְׁלַח,we will send
Qal,Jussive,3,M,S,יִשְׁלַח,may he send
Qal,Jussive,3,F,S,תִּשְׁלַח,may she send
Qal,Jussive,2,M,S,תִּשְׁלַח,may you send
Qal,Jussive,2,F,S,תִּשְׁלְחִי,may you send
Qal,Jussive,3,M,P,יִשְׁלְחוּ,may they send
Qal,Jussive,3,F,P,תִּשְׁלַ֫חְנָה,may they send
Qal,Jussive,2,M,P,תִּשְׁלְחוּ,may you all send
Qal,Jussive,2,F,P,תִּשְׁלַ֫חְנָה,may you all send
Qal,Cohortative,1,C,S,אֶשְׁלְחָה,may I send
Qal,Cohortative,1,C,P,נִשְׁלְחָה,may we send
Qal,Imperative,2,M,S,שְׁלַח,send!
Qal,Imperative,2,F,S,שִׁלְחִי,send!
Qal,Imperative,2,M,P,שִׁלְחוּ,send!
Qal,Imperative,2,F,P,שְׁלַ֫חְנָה,send!
Qal,Infinitive Absolute,,,,שָׁלוֹחַ,to send
Qal,Infinitive Construct,,,,שְׁלַח,to send
Qal,Active Participle,,M,S,שֹׁלֵחַ,sending
Qal,Active Participle,,F,S,שֹֽׁלְחָה,sending
Qal,Active Participle,,F,S,שֹׁלֶ֫חֶת,sending
Qal,Active Participle,,M,P,שֹֽׁלְחִים,sending
Qal,Active Participle,,F,P,שֹֽׁלְחוֹת,sending
Qal,Passive Participle,,M,S,שָׁלוּחַ,sent
Qal,Passive Participle,,F,S,שְׁלוּחָה,sent
Qal,Passive Participle,,M,P,שְׁלוּחִים,sent
Qal,Passive Participle,,F,P,שְׁלוּחוֹת,sent
Niphal,Perfect,3,M,S,נִשְׁלַח,he was sent
Niphal,Perfect,3,F,S,נִשְׁלְחָה,she was sent
Niphal,Perfect,2,M,S,נִשְׁלַ֫חְתָּ,you were sent
Niphal,Perfect,2,F,S,נִשְׁלַ֫חַתְּ,you were sent
Niphal,Perfect,1,C,S,נִשְׁלַ֫חְתִּי,I was sent
Niphal,Perfect,3,C,P,נִשְׁלְחוּ,they were sent
Niphal,Perfect,2,M,P,נִשְׁלַחְתֶּם,you all were sent
Niphal,Perfect,2,F,P,נִשְׁלַחְתֶּן,you all were sent
Niphal,Perfect,1,C,P,נִשְׁלַ֫חְנוּ,we were sent
Niphal,Imperfect,3,M,S,יִשָּׁלַח,he will be sent
Niphal,Imperfect,3,F,S,תִּשָּׁלַח,she will be sent
Niphal,Imperfect,2,M,S,תִּשָּׁלַח,you will be sent
Niphal,Imperfect,2,F,S,תִּשָּֽׁלְחִי,you will be sent
Niphal,Imperfect,1,C,S,אֶשָּׁלַח,I will be sent
Niphal,Imperfect,3,M,P,יִשָּֽׁלְחוּ,they will be sent
Niphal,Imperfect,3,F,P,תִּשָּׁלַ֫חְנָה,they will be sent
Niphal,Imperfect,2,M,P,תִּשָּֽׁלְחוּ,you all will be sent
Niphal,Imperfect,2,F,P,תִּשָּׁלַ֫חְנָה,you all will be sent
Niphal,Imperfect,1,C,P,נִשָּׁלַח,we will be sent
Niphal,Jussive,3,M,S,יִשָּׁלַח,may he be sent
Niphal,Jussive,3,F,S,תִּשָּׁלַח,may she be sent
Niphal,Jussive,2,M,S,תִּשָּׁלַח,may you be sent
Niphal,Jussive,2,F,S,תִּשָּֽׁלְחִי,may you be sent
Niphal,Jussive,3,M,P,יִשָּֽׁלְחוּ,may they be sent
Niphal,Jussive,3,F,P,תִּשָּׁלַ֫חְנָה,may they be sent
Niphal,Jussive,2,M,P,תִּשָּֽׁלְחוּ,may you all be sent
Niphal,Jussive,2,F,P,תִּשָּׁלַ֫חְנָה,may you all be sent
Niphal,Cohortative,1,C,S,אֶשָּֽׁלְחָה,may I be sent
Niphal,Cohortative,1,C,P,נִשָּֽׁלְחָה,may we be sent
Niphal,Imperative,2,M,S,הִשָּׁלַח,be sent!
Niphal,Imperative,2,F,S,הִשָּֽׁלְחִי,be sent!
Niphal,Imperative,2,M,P,הִשָּֽׁלְחוּ,be sent!
Niphal,Imperative,2,F,P,הִשָּׁלַ֫חְנָה,be sent!
Niphal,Infinitive Absolute,,,,הִשָּׁלֹחַ,to be sent
Niphal,Infinitive Absolute,,,,נִשְׁלֹחַ,to be sent
Niphal,Infinitive Construct,,,,הִשָּׁלַח,to be sent
Niphal,Passive Participle,,M,S,נִשְׁלָח,being sent
Niphal,Passive Participle,,F,S,נִשְׁלָחָה,being sent
Niphal,Passive Participle,,M,P,נִשְׁלָחִים,being sent
Niphal,Passive Participle,,F,P,נִשְׁלָחוֹת,being sent
Piel,Perfect,3,M,S,שִׁלַּח,he sent
Piel,Perfect,3,F,S,שִׁלְּחָה,she sent
Piel,Perfect,2,M,S,שִׁלַּ֫חְתָּ,you sent
Piel,Perfect,2,F,S,שִׁלַּ֫חַתְּ,you sent
Piel,Perfect,1,C,S,שִׁלַּ֫חְתִּי,I sent
Piel,Perfect,3,C,P,שִׁלְּחוּ,they sent
Piel,Perfect,2,M,P,שִׁלַּחְתֶּם,you all sent
Piel,Perfect,2,F,P,שִׁלַּחְתֶּן,you all sent
Piel,Perfect,1,C,P,שִׁלַּ֫חְנוּ,we sent
Piel,Imperfect,3,M,S,יְשַׁלַּח,he will send
Piel,Imperfect,3,F,S,תְּשַׁלַּח,she will send
Piel,Imperfect,2,M,S,תְּשַׁלַּח,you will send
Piel,Imperfect,2,F,S,תְּשַׁלְּחִי,you will send
Piel,Imperfect,1,C,S,אֲשַׁלַּח,I will send
Piel,Imperfect,3,M,P,יְשַׁלְּחוּ,they will send
Piel,Imperfect,3,F,P,תְּשַׁלַּ֫חְנָה,they will send
Piel,Imperfect,2,M,P,תְּשַׁלְּחוּ,you all will send
Piel,Imperfect,2,F,P,תְּשַׁלַּ֫חְנָה,you all will send
Piel,Imperfect,1,C,P,נְשַׁלַּח,we will send
Piel,Jussive,3,M,S,יְשַׁלַּח,may he send
Piel,Jussive,3,F,S,תְּשַׁלַּח,may she send
Piel,Jussive,2,M,S,תְּשַׁלַּח,may you send
Piel,Jussive,2,F,S,תְּשַׁלְּחִי,may you send
Piel,Jussive,3,M,P,יְשַׁלְּחוּ,may they send
Piel,Jussive,3,F,P,תְּשַׁלַּ֫חְנָה,may they send
Piel,Jussive,2,M,P,תְּשַׁלְּחוּ,may you all send
Piel,Jussive,2,F,P,תְּשַׁלַּ֫חְנָה,may you all send
Piel,Cohortative,1,C,S,אֲשַׁלְּחָה,may I send
Piel,Cohortative,1,C,P,נְשַׁלְּחָה,may we send
Piel,Imperative,2,M,S,שַׁלַּח,send!
