Binyan,Mode,Person,Gender,Number,Conjugation,Gloss Translation
Qal,Perfect,3,M,S,מָצָא,he found
Qal,Perfect,3,F,S,מָֽצְאָה,she found
Qal,Perfect,2,M,S,מָצָ֫אתָ,you found
Qal,Perfect,2,F,S,מָצָאתְ,you found
Qal,Perfect,1,C,S,מָצָ֫אתִי,I found
Qal,Perfect,3,C,P,מָֽצְאוּ,they found
Qal,Perfect,2,M,P,מְצָאתֶם,you all found
Qal,Perfect,2,F,P,מְצָאתֶן,you all found
Qal,Perfect,1,C,P,מָצָ֫אנוּ,we found
Qal,Imperfect,3,M,S,יִמְצָא,he will find
Qal,Imperfect,3,F,S,תִּמְצָא,she will find
Qal,Imperfect,2,M,S,תִּמְצָא,you will find
Qal,Imperfect,2,F,S,תִּמְצְאִי,you will find
Qal,Imperfect,1,C,S,אֶמְצָא,I will find
Qal,Imperfect,3,M,P,יִמְצְאוּ,they will find
Qal,Imperfect,3,F,P,תִּמְצֶ֫אנָה,they will find
Qal,Imperfect,2,M,P,תִּמְצְאוּ,you all will find
Qal,Imperfect,2,F,P,תִּמְצֶ֫אנָה,you all will find
Qal,Imperfect,1,C,P,נִמְצָא,we will find
Qal,Jussive,3,M,S,יִמְצָא,may he find
Qal,Jussive,3,F,S,תִּמְצָא,may she find
Qal,Jussive,2,M,S,תִּמְצָא,may you find
Qal,Jussive,2,F,S,תִּמְצְאִי,may you find
Qal,Jussive,3,M,P,יִמְצְאוּ,may they find
Qal,Jussive,3,F,P,תִּמְצֶ֫אנָה,may they find
Qal,Jussive,2,M,P,תִּמְצְאוּ,may you all find
Qal,Jussive,2,F,P,תִּמְצֶ֫אנָה,may you all find
Qal,Cohortative,1,C,S,אֶמְצְאָה,may I find
Qal,Cohortative,1,C,P,נִמְצְאָה,may we find
Qal,Imperative,2,M,S,מְצָא,find!
Qal,Imperative,2,F,S,מִצְאִי,find!
Qal,Imperative,2,M,P,מִצְאוּ,find!
Qal,Imperative,2,F,P,מְצֶ֫אנָה,find!
Qal,Infinitive Absolute,,,,מָצוֹא,to find
Qal,Infinitive Construct,,,,מְצֹא,to find
Qal,Active Participle,,M,S,מֹצֵא,finding
Qal,Active Participle,,F,S,מֹצְאָה,finding
Qal,Active Participle,,F,S,מֹצֵאת,finding
Qal,Active Participle,,M,P,מֹצְאִים,finding
Qal,Active Participle,,F,P,מֹצְאוֹת,finding
Qal,Passive Participle,,M,S,מָצוּא,found
Qal,Passive Participle,,F,S,מְצוּאָה,found
Qal,Passive Participle,,M,P,מְצוּאִים,found
Qal,Passive Participle,,F,P,מְצוּאוֹת,found
Niphal,Perfect,3,M,S,נִמְצָא,he was found
Niphal,Perfect,3,F,S,נִמְצְאָה,she was found
Niphal,Perfect,2,M,S,נִמְצֵ֫אתָ,you were found
Niphal,Perfect,2,F,S,נִמְצֵאתְ,you were found
Niphal,Perfect,1,C,S,נִמְצֵ֫אתִי,I was found
Niphal,Perfect,3,C,P,נִמְצְאוּ,they were found
Niphal,Perfect,2,M,P,נִמְצֵאתֶם,you all were found
Niphal,Perfect,2,F,P,נִמְצֵאתֶן,you all were found
Niphal,Perfect,1,C,P,נִמְצֵ֫אנוּ,we were found
Niphal,Imperfect,3,M,S,יִמָּצֵא,he will be found
Niphal,Imperfect,3,F,S,תִּמָּצֵא,she will be found
Niphal,Imperfect,2,M,S,תִּמָּצֵא,you will be found
Niphal,Imperfect,2,F,S,תִּמָּֽצְאִי,you will be found
Niphal,Imperfect,1,C,S,אֶמָּצֵא,I will be found
Niphal,Imperfect,3,M,P,יִמָּֽצְאוּ,they will be found
Niphal,Imperfect,3,F,P,תִּמָּצֶ֫אנָה,they will be found
Niphal,Imperfect,2,M,P,תִּמָּֽצְאוּ,you all will be found
Niphal,Imperfect,2,F,P,תִּמָּצֶ֫אנָה,you all will be found
Niphal,Imperfect,1,C,P,נִמָּצֵא,we will be found
Niphal,Jussive,3,M,S,יִמָּצֵא,may he be found
Niphal,Jussive,3,F,S,תִּמָּצֵא,may she be found
Niphal,Jussive,2,M,S,תִּמָּצֵא,may you be found
Niphal,Jussive,2,F,S,תִּמָּֽצְאִי,may you be found
Niphal,Jussive,3,M,P,יִמָּֽצְאוּ,may they be found
Niphal,Jussive,3,F,P,תִּמָּצֶ֫אנָה,may they be found
Niphal,Jussive,2,M,P,תִּמָּֽצְאוּ,may you all be found
Niphal,Jussive,2,F,P,תִּמָּצֶ֫אנָה,may you all be found
