Binyan,Mode,Person,Gender,Number,Conjugation,Gloss Translation
Qal,Perfect,3,M,S,גָּלָה,he uncovered
Qal,Perfect,3,F,S,גָּֽלְתָה,she uncovered
Qal,Perfect,2,M,S,גָּלִ֫יתָ,you uncovered
Qal,Perfect,2,F,S,גָּלִית,you uncovered
Qal,Perfect,1,C,S,גָּלִ֫יתִי,I uncovered
Qal,Perfect,3,C,P,גָּלוּ,they uncovered
Qal,Perfect,2,M,P,גְּלִיתֶם,you all uncovered
Qal,Perfect,2,F,P,גְּלִיתֶן,you all uncovered
Qal,Perfect,1,C,P,גָּלִ֫ינוּ,we uncovered
Qal,Imperfect,3,M,S,יִגְלֶה,he will uncover
Qal,Imperfect,3,F,S,תִּגְלֶה,she will uncover
Qal,Imperfect,2,M,S,תִּגְלֶה,you will uncover
Qal,Imperfect,2,F,S,תִּגְלִי,you will uncover
Qal,Imperfect,1,C,S,אֶגְלֶה,I will uncover
Qal,Imperfect,3,M,P,יִגְלוּ,they will uncover
Qal,Imperfect,3,F,P,תִּגְלֶ֫ינָה,they will uncover
Qal,Imperfect,2,M,P,תִּגְלוּ,you all will uncover
Qal,Imperfect,2,F,P,תִּגְלֶ֫ינָה,you all will uncover
Qal,Imperfect,1,C,P,נִגְלֶה,we will uncover
Qal,Jussive,3,M,S,יִגְלְ,may he uncover
Qal,Jussive,3,F,S,תִּגְלְ,may she uncover
Qal,Jussive,2,M,S,תִּגְלְ,may you uncover
Qal,Jussive,2,F,S,תִּגְלִי,may you uncover
Qal,Jussive,3,M,P,יִגְלוּ,may they uncover
Qal,Jussive,3,F,P,תִּגְלֶ֫ינָה,may they uncover
Qal,Jussive,2,M,P,תִּגְלוּ,may you all uncover
Qal,Jussive,2,F,P,תִּגְלֶ֫ינָה,may you all uncover
Qal,Cohortative,1,C,S,אֶגְלֶה,may I uncover
Qal,Cohortative,1,C,P,נִגְלֶה,may we uncover
Qal,Imperative,2,M,S,גְּלֵה,uncover!
Qal,Imperative,2,F,S,גִּלִי,uncover!
Qal,Imperative,2,M,P,גְּלוּ,uncover!
Qal,Imperative,2,F,P,גְּלֶ֫נָה,uncover!
Qal,Infinitive Absolute,,,,גָּלֹה,to uncover
Qal,Infinitive Construct,,,,גְּלוֹת,to uncover
Qal,Active Participle,,M,S,גֹּלֶה,uncovering
Qal,Active Participle,,F,S,גֹּלָה,uncovering
Qal,Active Participle,,M,P,גֹּלִים,uncovering
Qal,Active Participle,,F,P,גֹּלוֹת,uncovering
Qal,Passive Participle,,M,S,גָּלוּי,uncovered
Qal,Passive Participle,,F,S,גְּלוּיָה,uncovered
Qal,Passive Participle,,M,P,גְּלוּיִים,uncovered
Qal,Passive Participle,,F,P,גְּלוּיוֹת,uncovered
Niphal,Perfect,3,M,S,נִגְלָה,he was uncovered
Niphal,Perfect,3,F,S,נִגְלְתָה,she was uncovered
Niphal,Perfect,2,M,S,נִגְלֵ֫יתָ,you were uncovered
Niphal,Perfect,2,F,S,נִגְלֵית,you were uncovered
Niphal,Perfect,1,C,S,נִגְלֵ֫יתִי,I was uncovered
Niphal,Perfect,3,C,P,נִגְלוּ,they were uncovered
Niphal,Perfect,2,M,P,נִגְלֵיתֶם,you all were uncovered
Niphal,Perfect,2,F,P,נִגְלֵיתֶן,you all were uncovered
Niphal,Perfect,1,C,P,נִגְלֵ֫ינוּ,we were uncovered
Niphal,Imperfect,3,M,S,יִגָּלֶה,he will be uncovered
Niphal,Imperfect,3,F,S,תִּגָּלֶה,she will be uncovered
Niphal,Imperfect,2,M,S,תִּגָּלֶה,you will be uncovered
Niphal,Imperfect,2,F,S,תִּגָּלִי,you will be uncovered
Niphal,Imperfect,1,C,S,אֶגָּלֶה,I will be uncovered
Niphal,Imperfect,3,M,P,יִגָּלוּ,they will be uncovered
