Lesson,Frequency,Hebrew,English,POS,Category
1A,5000,אֶל,"(prep) unto, into, to, towards",Preposition,
1A,2706,אֱלֹהִים,"God, gods",Noun,Worship/Cultic
1A,5000,אָמַר,to say,Verb,Personal Interactions
1A,2498,אֶ֫רֶצ,"land, earth, country",Noun,Heavens and Earth
1A,5000,אֲשֶׁר,"(rel pron) who, which, that",Pronoun,
1A,5000,אֵת (I),(accusative particle; definite object marker; not translated),Particle,
1A,5000,אֵת (II),"(prep) with, beside",Preposition,
1A,5000,בְּ־,"(pref prep) in, with, by, among, through, as",Preposition,
1A,2530,בּוֹא,"to come, enter, go in",Verb,Movement Verbs
1A,4887,בֵּן,son,Noun,Family and Tribe
1A,5000,הֲ־,(pref interr particle),Particle,
1A,5000,הַ־ ּ,(pref def art) the (with dagesh in following cons),Particle,
1A,3514,הָיָה,"to be, happen, become",Verb,Action and Stative Verbs
1A,5000,וְ־,"(pref conj) and, even, also",Conjunction,
1A,5766,יהוה,"(יָהּ , יָה) The Lord",Proper Noun,Worship/Cultic
1A,2241,יוֹם,day,Noun,Time and Seasons
1A,2513,יִשְׂרָאֵל,Israel,Proper Noun,
1A,5000,כְּ־,"(pref prep) like, as, about, according to",Preposition,
1A,4395,כִּי,"(conj) for, because, that, indeed, surely, when",Conjunction,
1A,5000,"כֹּל , כּוֹל","all, every",Noun,Measurement and Numbers
1A,5000,לְ־,"(pref prep) to, for, with regard to, with reference to, toward; (voc) Do! Yes!",Preposition,
1A,4973,לֹא,"(neg) no, not",Particle,
1A,2522,מֶ֫לֶךְ,king,Noun,"People, Law, and Covenant"
1A,4898,עַל,"(prep) upon, on, over, concerning, beside, against",Preposition,
1A,2573,עָשָׂה,"to do, make, perform; (Pi) press, squeeze",Verb,Action and Stative Verbs
1B,1568,אָב,father,Noun,Family and Tribe
1B,2149,אִישׁ ; אֲנָשִׁים,(s; pl) man,Noun,Humans and Anatomy
1B,1046,אִם,"(conj) if, then",Conjunction,
1B,1316,אֲנִי ; אָנֹכִי,(pers pr c) I,Pronoun,
1B,2039,בַּ֫יִת,house,Noun,Building and Travel
1B,1130,דָּבַר,(Pi) to speak,Verb,Personal Interactions
1B,1426,דָּבָר,"word, thing, affair, matter",Noun,Personal Interactions
1B,1031,דָּוִד,David,Proper Noun,
1B,1533,הוּא,(pers pr) he,Pronoun,
1B,1504,הָלַךְ,"to walk, go",Verb,Movement Verbs
1B,1553,הֵ֫מָּה ; הֵ֫נָּה,(pers pr pl m; f) they,Pronoun,
1B,1037,הִנֵּה,"(dem interj) behold! lo! (Cf. 3.G, הֵן)",Interjection,
1B,1752,זֶה ; זֹאת,"(dem pr, s m; f) this",Pronoun,
1B,1580,יָד,hand,Noun,Humans and Anatomy
1B,1055,יָצָא,"to go (come) out, go (come) forth",Verb,Movement Verbs
1B,1078,יָשַׁב,"to sit, dwell, inhabit",Verb,Building and Travel
1B,1099,לִפְנֵי,(prep) before,Preposition,
1B,1279,מִן,"(prep) from, away from, out of, some of, because of; (comp) than",Preposition,
1B,1994,נָתַן,to give,Verb,Action and Stative Verbs
1B,1246,עַד,"(prep) to, unto, as far as (spacial); until, while (temporal)",Preposition,Time and Seasons
1B,1080,עִיר ; עָרִים,(f; irr pl) city,Noun,Building and Travel
1B,1827,עַם,people,Noun,"People, Law, and Covenant"
1B,1076,עִם,(prep) with,Preposition,
1B,2120,פָּנִים,"face, presence",Noun,Humans and Anatomy
1B,1294,רָאָה,to see,Verb,Action and Stative Verbs
1B,1055,שׁוּב,"to turn, return",Verb,Movement Verbs
1B,1136,שָׁמַע,"to hear, give ear to, obey",Verb,Action and Stative Verbs
1C,770,אָדוֹן ; אֲדֹנָי,"lord, master, sir; the Lord",Noun,Worship/Cultic
1C,959,אֶחָד ; אַחַת,(s m; f) one,Numeral,Measurement and Numbers
1C,773,אַ֫יִנ ; אֵין,(abs; cstr) there is/are not (non-existence),Particle,
1C,795,אָכַל,"to eat, consume, devour",Verb,Food
1C,738,אַל,"no, not",Particle,
1C,738,אֵ֫לֶּה,(dem pr; c pl) these,Pronoun,
1C,779,אִשָּׁה ; נָשִׁים,(s; irr pl) woman,Noun,Humans and Anatomy
1C,893,אַתָּה ; אַתְּ,(s m; f) you,Pronoun,
1C,812,גַּם,"(adv, conj) also, even, moreover, yea, although",Adverb,
1C,924,יָדַע,"to know, notice",Verb,Action and Stative Verbs
1C,889,יְהוּדָה ; יְהוּדִי,"Judah; (gent adj, n) Judean, Judahite",Proper Noun,
1C,749,כֹּהֵן,priest,Noun,Worship/Cultic
1C,844,לֵב ; לֵבָב,"heart, mind",Noun,Humans and Anatomy
1C,964,לָקַח,to take,Verb,Movement Verbs
1C,760,"מָה , מֶה , מַה","(interr pr) what?, how?",Pronoun,
1C,737,מוּת,to die,Verb,Action and Stative Verbs
1C,763,מֹשֶׁה,Moses,Proper Noun,
1C,753,נֶ֫פֶשׁ,"life, soul; throat",Noun,Humans and Anatomy
1C,800,עֶ֫בֶד,"servant, slave",Noun,"People, Law, and Covenant"
1C,867,עַ֫יִן,"eye; spring, fountain",Noun,Humans and Anatomy
1C,879,עָלָה,"to go up, ascend",Verb,Movement Verbs
1C,819,עָשָׂר ; עֶשְׂרִים,(s m; c pl) ten (plus num. = 11-19); twenty,Numeral,Measurement and Numbers
1C,730,קָרָא,"to call, meet; give a name to; read (aloud)",Verb,Action and Stative Verbs
1C,839,שָׁלַח,"to send, stretch out, let go",Verb,Movement Verbs
1C,817,שָׁם,(adv) there,Adverb,Measurement and Numbers
1C,862,שֵׁם,name,Noun,Family and Tribe
1C,871,שָׁנָה,year,Noun,Time and Seasons
1C,739,שְׁנַ֫יִם ; שְׁתַּ֫יִם,(du m; f) two,Numeral,Measurement and Numbers
1D,553,אָדָם,"man, human, humanity, person, Adam",Noun,Humans and Anatomy
1D,626,אָח,brother,Noun,Family and Tribe
1D,713,אַחַר,"behind, after",Preposition,
1D,582,בַּת,daughter,Noun,Family and Tribe
1D,525,גָּדוֹל,"(adj) great, big, large",Adjective,
1D,545,גּוֹי,"people, nation",Noun,Lands and Warfare
1D,698,דֶּ֫רֶךְ,"way, road, journey; (ext) custom",Noun,Building and Travel
1D,541,הִיא,(pers pr) she,Pronoun,
1D,554,הַר,"mountain, range",Noun,Heavens and Earth
1D,612,טוֹב,"to be good; (adj) good, beautiful; (n) goodness",Verb,Action and Stative Verbs
1D,667,יְרוּשָׁלַ֫םִ,(Q) Jerusalem (26 times in Aramaic),Proper Noun,
1D,504,כַּאֲשֶׁר,"(conj) as, even as, when, just as",Conjunction,
1D,554,כֹּה,"(adv) thus, so",Adverb,
1D,707,כֵּן,"(adv, adj, n) rightly, upright, right; (adv) thus, so",Adverb,
1D,577,מֵאָה,hundred; (du) two hundred,Numeral,Measurement and Numbers
1D,574,מַ֫יִם,water,Noun,Heavens and Earth
1D,708,מִצְרַ֫יִם ; מִצְרִי,Egypt; (gent) Egyptian,Proper Noun,
1D,504,נָכָה,(Ni) to be hit; (Hi) to smite,Verb,Action and Stative Verbs
1D,651,נָשָׂא,"to lift up, bear, carry",Verb,Movement Verbs
1D,539,עָבַר,"to pass over, transgress",Verb,Movement Verbs
1D,519,עָמַד,"to stand, remain, persist",Verb,Movement Verbs
1D,624,קוּם,"to rise, stand",Verb,Movement Verbs
1D,593,רֹאשׁ,"head, top, chief",Noun,Humans and Anatomy
1D,661,"רָע , רַע","(s m; f) bad, evil",Adjective,"People, Law, and Covenant"
1D,661,רָעָה,"evil, harm",Noun,"People, Law, and Covenant"
1D,584,שִׂים,"to set, place",Verb,Action and Stative Verbs
1D,586,"שָׁלֹשׁ , שְׁלֹשָׁה","(s m, f) three",Numeral,Measurement and Numbers
1D,586,שְׁלֹשִׁים,(pl of three) thirty,Numeral,Measurement and Numbers
2A,494,אֶ֫לֶף,"thousand, tribe, clan",Numeral,Measurement and Numbers
2A,444,"אַרְבַּע , אַרְבָּעָה","(s m, f) four",Numeral,Measurement and Numbers
2A,444,אַרְבָּעִים,(pl of four) forty,Numeral,Measurement and Numbers
2A,416,בְּתוֹךְ,"Same as תָּ֫וֶךְ (midst, middle; (prep) within, through)",Noun,
2A,478,"חָמֵשׁ , חֲמִשָּׁה","(s m, f) five",Numeral,Measurement and Numbers
2A,478,חֲמִשִּׁים,(pl five) fifty,Numeral,Measurement and Numbers
2A,407,חֶ֫רֶב,sword,Noun,Lands and Warfare
2A,488,יָלַד,"to bear, beget",Verb,Family and Tribe
2A,401,מִזְבֵּ֫חַ,altar,Noun,Worship/Cultic
2A,406,מִי,who?,Pronoun,
2A,451,מָצָא,to find; (Hi) present,Verb,Action and Stative Verbs
2A,425,מִשְׁפָּט,"judgement, justice, right, custom",Noun,"People, Law, and Covenant"
2A,401,נָא,"(particle of entreaty) pray, now; please",Particle,
2A,433,נָפַל,to fall,Verb,Movement Verbs
2A,481,עוֹד,"still, yet, again, else",Adverb,
2A,434,"עוֹלָם , עֹלָם",remote time; forever; eternity,Noun,Time and Seasons
2A,432,עַתָּה,now,Adverb,Time and Seasons
2A,492,"פֶּה ; כְּפִי , לְפִי",mouth; (conj) according to,Noun,Humans and Anatomy
2A,485,צָבָא,"service in war; host, army",Noun,Lands and Warfare
2A,494,צָוָה,(Pi) to command,Verb,"People, Law, and Covenant"
2A,430,קֹ֫דֶשׁ,"(adj, n) holy (thing)",Adjective,Worship/Cultic
2A,499,קוֹל,"voice, sound",Noun,Humans and Anatomy
2A,475,רַב,"(adj) many, much, abundant, mighty; (ctxt) captain, chief",Adjective,Measurement and Numbers
2A,406,שָׁאוּל,Saul,Proper Noun,
2A,492,"שֶׁ֫בַע , שִׁבְעָה","(s m, f) seven",Numeral,Measurement and Numbers
